commit_time,commit_id,gpu_index,folder,kernel,arch,compile_status,run_status,verify_passed,timing_avg_ms,tflops,status,compile_log,run_log,notes
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_v2.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_v2.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_v2.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_v2_regctrl.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_v2_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_v2_regctrl.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack.co","sm_90a","ok","ok","1","0.665338","826.28","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_regctrl.co","sm_90a","ok","ok","1","0.670735","819.632","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_regctrl.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_tbc.co","sm_90a","ok","ok","1","0.693685","792.515","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_tbc.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_tbc.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_v2.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_v2.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_v2.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_v2_regctrl.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_v2_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle64_128_prepack_v2_regctrl.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack.co","sm_90a","ok","ok","1","0.678999","809.657","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack_regctrl.co","sm_90a","ok","ok","1","0.684192","803.511","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack_regctrl.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack_trial.co","sm_90a","ok","ok","1","0.680225","808.197","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack_trial.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle128_128_prepack_trial.run.log",""
